"TIME","IMSI","LAT","LON","BAT","TEMP","HUMI","XG","XA","XD","XV","YG","YA","YD","YV","ZG","ZA","ZD","ZV","TYPE","PAYLOAD","DATA"
"2022-03-09 16:40:24",440103255528065,33.95824,130.943918,3,14.6,54,0,0,0,0,0,0,0,0,-960,-9414.384,-2387111.0389874,-149.91057324841,0,eyJsYXQiOjMzLjk1ODI0MCwibG9uIjoxMzAuOTQzOTE4LCJiYXQiOjMsInJzIjo0LCJ0ZW1wIjoxNC42LCJodW1pIjo1NC4wLCJ4IjowLjAsInkiOjAuMCwieiI6LTk2MC4wLCJ0eXBlIjowfQ==,"{""lat"":33.958240,""lon"":130.943918,""bat"":3,""rs"":4,""temp"":14.6,""humi"":54.0,""x"":0.0,""y"":0.0,""z"":-960.0,""type"":0}"
"2022-03-09 16:55:34",440103255528065,33.958491,130.943783,3,15.1,54.6,0,0,0,0,0,0,0,0,-896,-8786.7584,-2227970.3030549,-139.91653503185,0,eyJsYXQiOjMzLjk1ODQ5MSwibG9uIjoxMzAuOTQzNzgzLCJiYXQiOjMsInJzIjoxLCJ0ZW1wIjoxNS4xLCJodW1pIjo1NC42LCJ4IjowLjAsInkiOjAuMCwieiI6LTg5Ni4wLCJ0eXBlIjowfQ==,"{""lat"":33.958491,""lon"":130.943783,""bat"":3,""rs"":1,""temp"":15.1,""humi"":54.6,""x"":0.0,""y"":0.0,""z"":-896.0,""type"":0}"
"2022-03-09 17:10:48",440103255528065,33.958602,130.943599,3,14.7,58.2,0,0,0,0,0,0,0,0,-960,-9414.384,-2387111.0389874,-149.91057324841,0,eyJsYXQiOjMzLjk1ODYwMiwibG9uIjoxMzAuOTQzNTk5LCJiYXQiOjMsInJzIjowLCJ0ZW1wIjoxNC43LCJodW1pIjo1OC4yLCJ4IjowLjAsInkiOjAuMCwieiI6LTk2MC4wLCJ0eXBlIjowfQ==,"{""lat"":33.958602,""lon"":130.943599,""bat"":3,""rs"":0,""temp"":14.7,""humi"":58.2,""x"":0.0,""y"":0.0,""z"":-960.0,""type"":0}"
"2022-03-09 17:25:19",440103255528065,33.958244,130.943461,3,15.6,60.1,0,0,0,0,0,0,0,0,-960,-9414.384,-2387111.0389874,-149.91057324841,0,eyJsYXQiOjMzLjk1ODI0NCwibG9uIjoxMzAuOTQzNDYxLCJiYXQiOjMsInJzIjo0LCJ0ZW1wIjoxNS42LCJodW1pIjo2MC4xLCJ4IjowLjAsInkiOjAuMCwieiI6LTk2MC4wLCJ0eXBlIjowfQ==,"{""lat"":33.958244,""lon"":130.943461,""bat"":3,""rs"":4,""temp"":15.6,""humi"":60.1,""x"":0.0,""y"":0.0,""z"":-960.0,""type"":0}"
"2022-03-09 17:40:34",440103255528065,33.958107,130.943546,3,15.1,58.6,0,0,0,0,64,627.6256,159140.73593249,9.9940382165605,-960,-9414.384,-2387111.0389874,-149.91057324841,0,eyJsYXQiOjMzLjk1ODEwNywibG9uIjoxMzAuOTQzNTQ2LCJiYXQiOjMsInJzIjo0LCJ0ZW1wIjoxNS4xLCJodW1pIjo1OC42LCJ4IjowLjAsInkiOjY0LjAsInoiOi05NjAuMCwidHlwZSI6MH0=,"{""lat"":33.958107,""lon"":130.943546,""bat"":3,""rs"":4,""temp"":15.1,""humi"":58.6,""x"":0.0,""y"":64.0,""z"":-960.0,""type"":0}"
"2022-03-09 17:55:49",440103255528065,33.959041,130.943596,3,15.6,57.6,0,0,0,0,0,0,0,0,-960,-9414.384,-2387111.0389874,-149.91057324841,0,eyJsYXQiOjMzLjk1OTA0MSwibG9uIjoxMzAuOTQzNTk2LCJiYXQiOjMsInJzIjowLCJ0ZW1wIjoxNS42LCJodW1pIjo1Ny42LCJ4IjowLjAsInkiOjAuMCwieiI6LTk2MC4wLCJ0eXBlIjowfQ==,"{""lat"":33.959041,""lon"":130.943596,""bat"":3,""rs"":0,""temp"":15.6,""humi"":57.6,""x"":0.0,""y"":0.0,""z"":-960.0,""type"":0}"
"2022-03-09 18:10:24",440103255528065,33.958506,130.944277,3,15.6,59.2,0,0,0,0,0,0,0,0,-960,-9414.384,-2387111.0389874,-149.91057324841,0,eyJsYXQiOjMzLjk1ODUwNiwibG9uIjoxMzAuOTQ0Mjc3LCJiYXQiOjMsInJzIjoxLCJ0ZW1wIjoxNS42LCJodW1pIjo1OS4yLCJ4IjowLjAsInkiOjAuMCwieiI6LTk2MC4wLCJ0eXBlIjowfQ==,"{""lat"":33.958506,""lon"":130.944277,""bat"":3,""rs"":1,""temp"":15.6,""humi"":59.2,""x"":0.0,""y"":0.0,""z"":-960.0,""type"":0}"
"2022-03-09 18:25:34",440103255528065,33.958467,130.943772,3,15.8,59.6,0,0,0,0,64,627.6256,159140.73593249,9.9940382165605,-960,-9414.384,-2387111.0389874,-149.91057324841,0,eyJsYXQiOjMzLjk1ODQ2NywibG9uIjoxMzAuOTQzNzcyLCJiYXQiOjMsInJzIjo0LCJ0ZW1wIjoxNS44LCJodW1pIjo1OS42LCJ4IjowLjAsInkiOjY0LjAsInoiOi05NjAuMCwidHlwZSI6MH0=,"{""lat"":33.958467,""lon"":130.943772,""bat"":3,""rs"":4,""temp"":15.8,""humi"":59.6,""x"":0.0,""y"":64.0,""z"":-960.0,""type"":0}"
"2022-03-09 18:40:29",440103255528065,33.958203,130.943412,3,15.6,59.6,0,0,0,0,0,0,0,0,-1024,-10042.0096,-2546251.7749199,-159.90461146497,0,eyJsYXQiOjMzLjk1ODIwMywibG9uIjoxMzAuOTQzNDEyLCJiYXQiOjMsInJzIjo0LCJ0ZW1wIjoxNS42LCJodW1pIjo1OS42LCJ4IjowLjAsInkiOjAuMCwieiI6LTEwMjQuMCwidHlwZSI6MH0=,"{""lat"":33.958203,""lon"":130.943412,""bat"":3,""rs"":4,""temp"":15.6,""humi"":59.6,""x"":0.0,""y"":0.0,""z"":-1024.0,""type"":0}"
"2022-03-09 18:55:35",440103255528065,33.958332,130.9437,3,15.9,61.8,0,0,0,0,0,0,0,0,-1024,-10042.0096,-2546251.7749199,-159.90461146497,0,eyJsYXQiOjMzLjk1ODMzMiwibG9uIjoxMzAuOTQzNzAwLCJiYXQiOjMsInJzIjoxLCJ0ZW1wIjoxNS45LCJodW1pIjo2MS44LCJ4IjowLjAsInkiOjAuMCwieiI6LTEwMjQuMCwidHlwZSI6MH0=,"{""lat"":33.958332,""lon"":130.943700,""bat"":3,""rs"":1,""temp"":15.9,""humi"":61.8,""x"":0.0,""y"":0.0,""z"":-1024.0,""type"":0}"
"2022-03-09 19:10:43",440103255528065,33.958444,130.943633,3,15.6,58.9,0,0,0,0,0,0,0,0,-960,-9414.384,-2387111.0389874,-149.91057324841,0,eyJsYXQiOjMzLjk1ODQ0NCwibG9uIjoxMzAuOTQzNjMzLCJiYXQiOjMsInJzIjo0LCJ0ZW1wIjoxNS42LCJodW1pIjo1OC45LCJ4IjowLjAsInkiOjAuMCwieiI6LTk2MC4wLCJ0eXBlIjowfQ==,"{""lat"":33.958444,""lon"":130.943633,""bat"":3,""rs"":4,""temp"":15.6,""humi"":58.9,""x"":0.0,""y"":0.0,""z"":-960.0,""type"":0}"
"2022-03-09 19:25:33",440103255528065,33.958372,130.943663,3,16,57.6,0,0,0,0,0,0,0,0,-960,-9414.384,-2387111.0389874,-149.91057324841,0,eyJsYXQiOjMzLjk1ODM3MiwibG9uIjoxMzAuOTQzNjYzLCJiYXQiOjMsInJzIjo0LCJ0ZW1wIjoxNi4wLCJodW1pIjo1Ny42LCJ4IjowLjAsInkiOjAuMCwieiI6LTk2MC4wLCJ0eXBlIjowfQ==,"{""lat"":33.958372,""lon"":130.943663,""bat"":3,""rs"":4,""temp"":16.0,""humi"":57.6,""x"":0.0,""y"":0.0,""z"":-960.0,""type"":0}"
"2022-03-09 19:40:19",440103255528065,33.958319,130.943466,3,15.3,56.8,0,0,0,0,0,0,0,0,-960,-9414.384,-2387111.0389874,-149.91057324841,0,eyJsYXQiOjMzLjk1ODMxOSwibG9uIjoxMzAuOTQzNDY2LCJiYXQiOjMsInJzIjoxLCJ0ZW1wIjoxNS4zLCJodW1pIjo1Ni44LCJ4IjowLjAsInkiOjAuMCwieiI6LTk2MC4wLCJ0eXBlIjowfQ==,"{""lat"":33.958319,""lon"":130.943466,""bat"":3,""rs"":1,""temp"":15.3,""humi"":56.8,""x"":0.0,""y"":0.0,""z"":-960.0,""type"":0}"
"2022-03-09 19:55:44",440103255528065,33.958335,130.943885,3,15.2,56.9,0,0,0,0,0,0,0,0,-960,-9414.384,-2387111.0389874,-149.91057324841,0,eyJsYXQiOjMzLjk1ODMzNSwibG9uIjoxMzAuOTQzODg1LCJiYXQiOjMsInJzIjoxLCJ0ZW1wIjoxNS4yLCJodW1pIjo1Ni45LCJ4IjowLjAsInkiOjAuMCwieiI6LTk2MC4wLCJ0eXBlIjowfQ==,"{""lat"":33.958335,""lon"":130.943885,""bat"":3,""rs"":1,""temp"":15.2,""humi"":56.9,""x"":0.0,""y"":0.0,""z"":-960.0,""type"":0}"
"2022-03-09 20:10:24",440103255528065,33.958251,130.944043,3,15.8,55.2,0,0,0,0,64,627.6256,159140.73593249,9.9940382165605,-960,-9414.384,-2387111.0389874,-149.91057324841,0,eyJsYXQiOjMzLjk1ODI1MSwibG9uIjoxMzAuOTQ0MDQzLCJiYXQiOjMsInJzIjo0LCJ0ZW1wIjoxNS44LCJodW1pIjo1NS4yLCJ4IjowLjAsInkiOjY0LjAsInoiOi05NjAuMCwidHlwZSI6MH0=,"{""lat"":33.958251,""lon"":130.944043,""bat"":3,""rs"":4,""temp"":15.8,""humi"":55.2,""x"":0.0,""y"":64.0,""z"":-960.0,""type"":0}"
"2022-03-09 20:25:44",440103255528065,33.958165,130.943708,3,15,58.1,0,0,0,0,64,627.6256,159140.73593249,9.9940382165605,-960,-9414.384,-2387111.0389874,-149.91057324841,0,eyJsYXQiOjMzLjk1ODE2NSwibG9uIjoxMzAuOTQzNzA4LCJiYXQiOjMsInJzIjo0LCJ0ZW1wIjoxNS4wLCJodW1pIjo1OC4xLCJ4IjowLjAsInkiOjY0LjAsInoiOi05NjAuMCwidHlwZSI6MH0=,"{""lat"":33.958165,""lon"":130.943708,""bat"":3,""rs"":4,""temp"":15.0,""humi"":58.1,""x"":0.0,""y"":64.0,""z"":-960.0,""type"":0}"
